building_id,source_parcel_id,source_parcel_ids,source_parcel_count,raw_row_count,unique_geometry_count,inferred_parcel_id,candidate_count,intersection_area_sq_m,parcel_coverage,building_coverage,iou,centroid_distance_m,spatial_score,score_margin,resolution
way/1341558027,49,49,1,1,1,49,3,716.802,0.0798,1.0,0.0798,28.08,0.6475,0.6475,CONSISTENT_LOW_CONFIDENCE
way/1341558028,49,49,1,1,1,49,1,435.187,0.0484,1.0,0.0484,27.359,0.6455,,CONSISTENT_LOW_CONFIDENCE
way/1341558029,49,49,1,1,1,49,1,428.64,0.0477,1.0,0.0477,27.886,0.6422,,CONSISTENT_LOW_CONFIDENCE
way/1341558030,49,49,1,1,1,49,1,441.392,0.0491,1.0,0.0491,39.279,0.5742,,CONSISTENT_LOW_CONFIDENCE
way/1341558031,49,49,1,1,1,49,1,441.393,0.0491,1.0,0.0491,46.276,0.5322,,CONSISTENT_LOW_CONFIDENCE
way/1341558032,49,49,1,1,1,49,2,299.954,0.0334,1.0,0.0334,51.345,0.5067,0.5067,CONSISTENT_LOW_CONFIDENCE
way/1341558033,49,49,1,1,1,49,2,714.881,0.0796,1.0,0.0796,46.724,0.5356,0.5356,CONSISTENT_LOW_CONFIDENCE
way/1341558034,15,15,1,1,1,15,3,322.926,0.0806,1.0,0.0806,34.058,0.6118,0.5708,CONSISTENT_LOW_CONFIDENCE
way/1341558035,64,64,1,1,1,64,3,322.92,0.0328,1.0,0.0328,61.67,0.5066,0.4582,CONSISTENT_LOW_CONFIDENCE
way/1341558036,64,64,1,1,1,64,3,322.798,0.0328,1.0,0.0328,46.045,0.5303,0.5031,CONSISTENT_LOW_CONFIDENCE
way/1341558037,64,64,1,1,1,64,2,322.802,0.0328,1.0,0.0328,33.427,0.606,0.5904,CONSISTENT_LOW_CONFIDENCE
way/1341558038,64,64,1,1,1,64,2,322.92,0.0328,1.0,0.0328,30.793,0.6218,0.5742,CONSISTENT_LOW_CONFIDENCE
way/1341558039,64,64,1,1,1,64,2,322.92,0.0328,1.0,0.0328,41.61,0.5569,0.5279,CONSISTENT_LOW_CONFIDENCE
way/1341558040,74/1,74/1,1,1,1,74/1,1,303.32,0.0376,1.0,0.0376,45.477,0.5347,,CONSISTENT_LOW_CONFIDENCE
way/1341558041,74/1,74/1,1,1,1,74/1,1,303.178,0.0376,1.0,0.0376,38.387,0.5772,,CONSISTENT_LOW_CONFIDENCE
way/1341558042,74/1,74/1,1,1,1,74/1,1,303.178,0.0376,1.0,0.0376,40.027,0.5674,,CONSISTENT_LOW_CONFIDENCE
way/1341558043,74/1,74/1|72,2,2,1,74/1,2,263.778,0.0327,0.8699,0.0325,48.485,0.4506,0.3328,CONSISTENT_LOW_CONFIDENCE
way/1341558044,74/1,74/1|72,2,2,1,74/1,2,541.592,0.0671,0.8442,0.0663,29.179,0.5604,0.3267,CONSISTENT_LOW_CONFIDENCE
way/1341558045,94,94|74/1|72|132,4,4,1,74/1,4,494.485,0.0613,0.7709,0.0602,50.211,0.3977,0.3058,CONSISTENT_LOW_CONFIDENCE
way/1341558046,74/1,74/1,1,1,1,74/1,1,317.911,0.0394,1.0,0.0394,34.257,0.6023,,CONSISTENT_LOW_CONFIDENCE
way/1341558047,74/1,74/1,1,1,1,74/1,2,317.837,0.0394,1.0,0.0394,50.333,0.5079,0.4457,CONSISTENT_LOW_CONFIDENCE
way/1341558048,94,94,1,1,1,94,3,299.38,0.0705,1.0,0.0705,27.387,0.6498,0.6498,CONSISTENT_LOW_CONFIDENCE
way/1341558049,94,94,1,1,1,94,2,299.516,0.0705,1.0,0.0705,25.713,0.6598,0.6598,CONSISTENT
way/1341558050,94,94,1,1,1,94,2,299.517,0.0705,1.0,0.0705,29.74,0.6357,0.6357,CONSISTENT_LOW_CONFIDENCE
way/1341558051,94,94,1,1,1,94,2,299.634,0.0705,1.0,0.0705,29.192,0.639,0.639,CONSISTENT_LOW_CONFIDENCE
way/1341558052,94,94,1,1,1,94,2,292.172,0.0688,1.0,0.0688,19.272,0.6981,0.6968,CONSISTENT
way/1341558053,94,94,1,1,1,94,2,292.067,0.0687,1.0,0.0687,22.352,0.6796,0.6796,CONSISTENT
way/1341558054,75,75,1,1,1,75,2,387.242,0.1275,1.0,0.1275,19.908,0.706,0.6557,CONSISTENT
way/1341558055,78,78|76,2,2,1,76,3,316.9,0.163,0.8183,0.1574,19.48,0.6249,0.4327,CONSISTENT_LOW_CONFIDENCE
way/1341558056,78,78|76,2,2,1,76,2,322.285,0.1658,0.8319,0.1604,7.564,0.7037,0.4886,CONSISTENT
way/1341558057,78,78|76,2,2,1,76,2,327.667,0.1686,0.8462,0.1636,24.33,0.6108,0.4524,CONSISTENT_LOW_CONFIDENCE
way/1341558058,78,78,1,1,1,78,2,333.532,0.122,1.0,0.122,20.139,0.7036,0.7036,CONSISTENT
way/1341558059,78,78,1,1,1,78,2,479.08,0.1752,1.0,0.1752,21.58,0.7056,0.5735,CONSISTENT
way/1341558060,79/1,79/1,1,1,1,79/1,2,287.731,0.1,1.0,0.1,17.07,0.7176,0.6855,CONSISTENT
way/1374361362,24/1,24/1|119,2,2,1,24/1,2,249.522,0.0237,0.8381,0.0235,61.581,0.4238,0.2433,CONSISTENT_LOW_CONFIDENCE
way/1374361363,24/1,24/1,1,1,1,24/1,2,297.538,0.0282,1.0,0.0282,52.487,0.5056,0.5056,CONSISTENT_LOW_CONFIDENCE
way/1374361364,24/1,24/1,1,1,1,24/1,1,297.5,0.0282,1.0,0.0282,53.7,0.5056,,CONSISTENT_LOW_CONFIDENCE
way/1374361365,24/1,24/1,1,1,1,24/1,1,297.54,0.0282,1.0,0.0282,35.558,0.5923,,CONSISTENT_LOW_CONFIDENCE
way/1374361366,24/1,24/1,1,1,1,24/1,1,297.624,0.0282,1.0,0.0282,21.699,0.6755,,CONSISTENT
way/1374361367,24/1,24/1,1,1,1,24/1,1,297.624,0.0282,1.0,0.0282,22.241,0.6722,,CONSISTENT
way/1374361368,24/1,24/1,1,1,1,24/1,1,297.624,0.0282,1.0,0.0282,36.103,0.589,,CONSISTENT_LOW_CONFIDENCE
way/1374361369,24/1,24/1,1,1,1,24/1,1,297.5,0.0282,1.0,0.0282,55.433,0.5056,,CONSISTENT_LOW_CONFIDENCE
way/1374361370,24/1,24/1|119,2,2,1,24/1,2,243.705,0.0231,0.8188,0.023,46.907,0.4326,0.2507,CONSISTENT_LOW_CONFIDENCE
way/1374361371,24/1,24/1|120|119,3,3,1,24/1,3,235.976,0.0224,0.7929,0.0222,36.967,0.4791,0.3817,CONSISTENT_LOW_CONFIDENCE
way/1374361372,24/1,24/1|120,2,2,1,24/1,2,236.555,0.0224,0.7947,0.0223,34.721,0.4935,0.312,CONSISTENT_LOW_CONFIDENCE
way/1374361373,24/1,24/1|120,2,2,1,24/1,2,265.329,0.0252,0.8919,0.0251,39.741,0.5125,0.3101,CONSISTENT_LOW_CONFIDENCE
way/1374363244,23,23|22,2,2,1,23,2,259.794,0.0503,0.7449,0.0495,36.228,0.4652,0.2581,CONSISTENT_LOW_CONFIDENCE
way/1374363245,23,23,1,1,1,23,1,348.641,0.0676,1.0,0.0676,22.244,0.68,,CONSISTENT
way/1374363246,23,23|22,2,2,1,23,4,593.048,0.1149,0.8151,0.112,30.917,0.545,0.3704,CONSISTENT_LOW_CONFIDENCE
way/1374363247,23,23|24/1,2,2,1,23,3,717.759,0.1391,0.9865,0.1388,22.188,0.6879,0.681,CONSISTENT
way/1374363248,32/1,32/1|29,2,2,1,29,2,381.167,0.2289,0.8231,0.2182,19.81,0.6385,0.5876,CONSISTENT_LOW_CONFIDENCE
way/1374363249,32/1,32/1,1,1,1,32/1,2,334.971,0.062,0.8945,0.0615,38.512,0.5286,0.4348,CONSISTENT_LOW_CONFIDENCE
way/1374363250,32/1,32/1,1,1,1,32/1,1,342.798,0.0634,0.9155,0.063,21.831,0.6394,,CONSISTENT_LOW_CONFIDENCE
way/1374363251,32/1,32/1,1,1,1,32/1,1,318.174,0.0589,0.8495,0.0582,26.642,0.5767,,CONSISTENT_LOW_CONFIDENCE
way/1374363252,30,30|32/1,2,2,1,32/1,2,313.289,0.0579,0.8365,0.0573,45.042,0.4596,0.2759,CONSISTENT_LOW_CONFIDENCE
way/1374363253,135,135|30|33,3,3,1,30,3,404.325,0.2375,0.8073,0.2248,20.462,0.6284,0.4117,CONSISTENT_LOW_CONFIDENCE
way/1374363254,32/1,32/1|29,2,2,1,29,2,354.136,0.2127,0.9294,0.2093,10.684,0.7431,0.7068,CONSISTENT
way/1374363255,32/1,32/1,1,1,1,32/1,1,259.876,0.0481,1.0,0.0481,33.411,0.6091,,CONSISTENT_LOW_CONFIDENCE
way/1374363256,32/1,32/1,1,1,1,32/1,1,260.044,0.0481,1.0,0.0481,16.581,0.7101,,CONSISTENT
way/1374363257,32/1,32/1,1,1,1,32/1,1,260.051,0.0481,1.0,0.0481,22.005,0.6776,,CONSISTENT
way/1374363258,30,30|32/1,2,2,1,32/1,2,255.091,0.0472,0.9815,0.0471,40.229,0.5588,0.3966,CONSISTENT_LOW_CONFIDENCE
