parcel_id,source_type,source_id,survey_date,source_status,crs
38,CTPVD_Final_Plot,38,,verified,EPSG:32643
39/1,CTPVD_Final_Plot,39/1,,verified,EPSG:32643
82,CTPVD_Final_Plot,82,,verified,EPSG:32643
120,CTPVD_Final_Plot,120,,verified,EPSG:32643
123,CTPVD_Final_Plot,123,,verified,EPSG:32643
50/1,CTPVD_Final_Plot,50/1,,verified,EPSG:32643
57,CTPVD_Final_Plot,57,,verified,EPSG:32643
34,CTPVD_Final_Plot,34,,verified,EPSG:32643
122,CTPVD_Final_Plot,122,,verified,EPSG:32643
135,CTPVD_Final_Plot,135,,verified,EPSG:32643
10,CTPVD_Final_Plot,10,,verified,EPSG:32643
136,CTPVD_Final_Plot,136,,verified,EPSG:32643
143,CTPVD_Final_Plot,143,,verified,EPSG:32643
53,CTPVD_Final_Plot,53,,verified,EPSG:32643
56/2,CTPVD_Final_Plot,56/2,,verified,EPSG:32643
32/1,CTPVD_Final_Plot,32/1,,verified,EPSG:32643
83,CTPVD_Final_Plot,83,,verified,EPSG:32643
41/1,CTPVD_Final_Plot,41/1,,verified,EPSG:32643
5,CTPVD_Final_Plot,5,,verified,EPSG:32643
86,CTPVD_Final_Plot,86,,verified,EPSG:32643
90,CTPVD_Final_Plot,90,,verified,EPSG:32643
26/1,CTPVD_Final_Plot,26/1,,verified,EPSG:32643
48,CTPVD_Final_Plot,48,,verified,EPSG:32643
8,CTPVD_Final_Plot,8,,verified,EPSG:32643
20,CTPVD_Final_Plot,20,,verified,EPSG:32643
112,CTPVD_Final_Plot,112,,verified,EPSG:32643
119,CTPVD_Final_Plot,119,,verified,EPSG:32643
84,CTPVD_Final_Plot,84,,verified,EPSG:32643
51,CTPVD_Final_Plot,51,,verified,EPSG:32643
24/2,CTPVD_Final_Plot,24/2,,verified,EPSG:32643
46,CTPVD_Final_Plot,46,,verified,EPSG:32643
79/2,CTPVD_Final_Plot,79/2,,verified,EPSG:32643
129,CTPVD_Final_Plot,129,,verified,EPSG:32643
31/1,CTPVD_Final_Plot,31/1,,verified,EPSG:32643
21,CTPVD_Final_Plot,21,,verified,EPSG:32643
115/2,CTPVD_Final_Plot,115/2,,verified,EPSG:32643
13,CTPVD_Final_Plot,13,,verified,EPSG:32643
87,CTPVD_Final_Plot,87,,verified,EPSG:32643
114,CTPVD_Final_Plot,114,,verified,EPSG:32643
124,CTPVD_Final_Plot,124,,verified,EPSG:32643
72,CTPVD_Final_Plot,72,,verified,EPSG:32643
88,CTPVD_Final_Plot,88,,verified,EPSG:32643
35/1,CTPVD_Final_Plot,35/1,,verified,EPSG:32643
50/2,CTPVD_Final_Plot,50/2,,verified,EPSG:32643
27/1,CTPVD_Final_Plot,27/1,,verified,EPSG:32643
